Wrestler,Wins,Losses,Draws
Daniel Bryan,177,37,6
Dean Ambrose,70,134,4
Antonio Cesaro,80,126,1
Seth Rollins,50,150,4
Randy Orton,129,63,8
Roman Reigns,49,140,5
Ryback,103,88,3
Damien Sandow,39,147,3
Alberto Del Rio,126,53,4
Dolph Ziggler,62,117,1
Cody Rhodes,47,114,3
Jack Swagger,56,96,2
Kofi Kingston,66,79,4
Zack Ryder,66,80,0
Brodus Clay,100,44,1
Jey Uso,85,54,1
Sheamus,110,25,5
Jimmy Uso,85,52,1
Tensai,91,46,1
Titus O'Neil,29,108,1
The Miz,61,71,5
Heath Slater,5,129,1
John Cena,127,6,1
Wade Barrett,52,77,1
Darren Young,28,100,1
R-Truth,76,51,1
Big E. Langston,51,75,1
Fandango,58,66,1
Kaitlyn,87,37,1
Justin Gabriel,61,62,1
Kane,98,26,0
The Big Show,64,53,3
Drew McIntyre,8,107,0
Curtis Axel,50,58,3
Jinder Mahal,7,98,0
Natalya,78,26,1
The Great Khali,75,28,2
CM Punk,73,26,4
Luke Harper,64,37,0
AJ Lee,44,56,0
Bo Dallas,65,26,0
Brie Bella,30,59,2
Naomi,70,15,2
Tamina Snuka,11,76,0
Erick Rowan,56,30,0
Aksana,3,79,0
Mark Henry,50,31,1
Adrian Neville,55,24,0
Bray Wyatt,56,23,0
Leo Kruger,36,37,0
Corey Graves,32,35,1
Alicia Fox,18,48,0
Santino Marella,34,30,0
Chris Jericho,35,23,1
Rob Van Dam,41,16,1
Paige,41,16,0
Aiden English,18,37,0
Alexander Rusev,33,22,0
Emma,28,26,0
Mason Ryan,38,16,0
Layla,37,16,0
Conor O'Brian,34,16,2
Sami Zayn,26,26,0
Sasha Banks,23,29,0
Primo,3,48,0
Alex Riley,19,31,0
Xavier Woods,30,20,0
Epico,2,47,0
Cameron,39,9,0
Sin Cara,26,20,2
Colin Cassady,11,33,0
Bayley,22,21,0
Nikki Bella,21,22,0
Scott Dawson,10,32,0
CJ Parker,20,20,0
Kassius Ohno,16,24,0
Summer Rae,15,25,0
Goldust,25,13,1
Rick Victor,28,11,0
Ted DiBiase,22,14,1
Baron Corbin,8,28,0
Mojo Rawley,29,7,0
Michael McGillicutty,6,27,2
Charlotte,17,16,0
Christian,22,11,0
Yoshi Tatsu,13,17,2
Jason Jordan,11,20,0
Danny Burch,6,22,0
Diego,27,1,0
Fernando,27,1,0
Curt Hawkins,0,26,1
Jake Carter,12,15,0
Hunico,2,24,0
Tyler Breeze,7,19,0
Dante Dash,10,15,0
Tyson Kidd,12,13,0
Sawyer Fulton,10,14,0
Angelo Dawkins,10,13,0
Knuckles Madsen,4,19,0
Billy Gunn,18,2,1
Brad Maddox,3,18,0
Enzo Amore,3,15,1
JTG,0,19,0
Rey Mysterio,14,5,0
Travis Tyler,1,18,0
Axl Keegan,3,15,0
Camacho,5,13,0
Garrett Dylan,16,2,0
Mike Dalton,3,15,0
Road Dogg,17,0,1
Briley Pierce,1,14,1
David Otunga,0,16,0
Audrey Marie,6,9,0
Paul Heyman,2,11,0
Ricardo Rodriguez,6,6,1
Rosa Mendes,1,12,0
Sakamoto,3,9,1
Eva Marie,5,7,0
Percy Watson,3,9,0
Derrick Bateman,2,9,0
Kendall Skye,7,4,0
Troy McClain,1,10,0
William Regal,5,6,0
Malik Omari,3,6,1
Oliver Grey,7,3,0
Tye Dillinger,0,10,0
Konnor O'Brian,7,2,0
Sin Cara,9,0,0
Slate Randall,2,6,1
Cal Bishop,2,5,1
El Local,0,8,0
Mickey Keegan,1,7,0
Wesley Blake,5,3,0
Kalisto,3,4,0
Tamina,1,5,1
Viktor,6,1,0
Brandon Traven,1,5,0
Bull Dempsey,1,5,0
Judas Devlin,1,5,0
Rick Viktor,5,1,0
Zeb Colter,0,5,1
Adam Rose,4,1,0
El Torito,5,0,0
Eve Torres,3,2,0
JoJo,3,2,0
Konnor,5,0,0
Rami Sebei,2,3,0
Triple H,1,3,1
Alexa Bliss,1,3,0
Becky Lynch,0,4,0
El Local #1,0,4,0
El Local #2,0,4,0
Sylvester Lefort,1,3,0
The Undertaker,3,1,0
Bad News Barrett,3,0,0
Brock Lesnar,2,1,0
Hornswoggle,3,0,0
Luther Ward,2,1,0
Simon Gotch,1,2,0
Solomon Crowe,2,1,0
The Rock,2,1,0
Veronica Lane,0,3,0
Buddy Murphy,0,2,0
Denton Blackwell,0,2,0
Jamie Noble,2,0,0
Marcus Louis,0,2,0
Memo Montenegro,0,2,0
Vickie Guerrero,0,2,0
