id,name,date_of_birth,position,current_club,f_matches,f_substitutions,f_goals,nf_matches,nf_substitutions,nf_goals,national_team,year
0,Alisson,1992-10-02,Goalkeeper,AS Roma,7,0,0,0,0,0,Brazil,2017
1,Weverton,1987-12-13,Goalkeeper,Atlético Paranaense (PR),2,0,0,0,0,0,Brazil,2017
2,"Alves, Diego",1985-06-24,Goalkeeper,CR Flamengo (RJ),1,0,0,0,0,0,Brazil,2017
3,Ederson,1993-08-17,Goalkeeper,Manchester City,1,0,0,0,0,0,Brazil,2017
4,"Ramos, Cássio",1987-06-06,Goalkeeper,SC Corinthians (SP),0,1,0,0,0,0,Brazil,2017
5,Marquinhos,1994-05-14,Centre Back,Paris Saint-Germain,6,1,0,0,0,0,Brazil,2017
6,"Alves, Dani",1983-05-06,Right Back,Paris Saint-Germain,6,0,0,0,0,0,Brazil,2017
7,"Miranda, João",1984-09-07,Centre Back,Inter Milano,6,0,0,0,0,0,Brazil,2017
8,"Silva, Thiago",1984-09-22,Centre Back,Paris Saint-Germain,5,2,1,0,0,0,Brazil,2017
9,Marcelo,1988-05-12,Left Back,Real Madrid,5,0,2,0,0,0,Brazil,2017
10,Alex Sandro,1991-01-26,Left Back,Juventus Torino,3,1,0,0,0,0,Brazil,2017
11,Fágner,1989-06-11,Right Back,SC Corinthians (SP),3,0,0,0,0,0,Brazil,2017
12,Rodrigo Caio,1993-08-17,Centre Back,São Paulo FC (SP),2,1,0,0,0,0,Brazil,2017
13,Filipe Luís,1985-08-09,Left Back,Atlético Madrid,2,0,0,0,0,0,Brazil,2017
14,Jemerson,1992-08-24,Centre Back,AS Monaco,1,1,0,0,0,0,Brazil,2017
15,Rafinha,1985-09-07,Right Back,Bayern München,1,1,0,0,0,0,Brazil,2017
16,Danilo,1991-07-15,Right Back,Manchester City,1,0,0,0,0,0,Brazil,2017
17,David Luiz,1987-04-22,Centre Back,Chelsea FC,1,0,0,0,0,0,Brazil,2017
18,"Geromel, Pedro",1985-09-21,Centre Back,Grêmio FBPA (RS),1,0,0,0,0,0,Brazil,2017
19,Gil,1987-06-12,Centre Back,Shandong Luneng Taishan,1,0,0,0,0,0,Brazil,2017
20,"Santos, Fábio",1985-09-16,Left Back,Atlético Mineiro (MG),1,0,0,0,0,0,Brazil,2017
