Name,Age,Nationality,Overall,Potential,Club,Preferred Position,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
Cristiano Ronaldo,32,Portugal,94,94,Real Madrid CF,ST,89,53,62,91,82,89,61,53,82,62,91,89,92,91,66,89,61,53,82,62,91,89,92,91,66,92
L. Messi,30,Argentina,93,93,FC Barcelona,RW,92,45,59,92,84,92,57,45,84,59,92,90,88,91,62,92,57,45,84,59,92,90,88,91,62,88
Neymar,25,Brazil,92,94,Paris Saint-Germain,LW,88,46,59,88,79,88,59,46,79,59,88,87,84,89,64,88,59,46,79,59,88,87,84,89,64,84
L. Suárez,30,Uruguay,92,92,FC Barcelona,ST,87,58,65,88,80,87,64,58,80,65,88,85,88,87,68,87,64,58,80,65,88,85,88,87,68,88
M. Neuer,31,Germany,92,92,FC Bayern Munich,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Lewandowski,28,Poland,91,91,FC Bayern Munich,ST,84,57,62,87,78,84,58,57,78,62,87,82,88,84,61,84,58,57,78,62,87,82,88,84,61,88
De Gea,26,Spain,90,92,Manchester United,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
E. Hazard,26,Belgium,90,91,Chelsea,LW,88,47,61,87,81,88,59,47,81,61,87,87,82,88,64,88,59,47,81,61,87,87,82,88,64,82
T. Kroos,27,Germany,90,90,Real Madrid CF,CDM,83,72,82,81,87,83,76,72,87,82,81,81,77,80,78,83,76,72,87,82,81,81,77,80,78,77
G. Higuaín,29,Argentina,90,90,Juventus,ST,81,46,52,84,71,81,51,46,71,52,84,79,87,82,55,81,51,46,71,52,84,79,87,82,55,87
Sergio Ramos,31,Spain,90,90,Real Madrid CF,CB,70,87,83,70,74,70,84,87,74,83,70,71,72,69,81,70,84,87,74,83,70,71,72,69,81,72
K. De Bruyne,26,Belgium,89,92,Manchester City,RM,86,57,70,85,84,86,66,57,84,70,85,85,81,85,71,86,66,57,84,70,85,85,81,85,71,81
T. Courtois,25,Belgium,89,92,Chelsea,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Sánchez,28,Chile,89,89,Arsenal,RM,85,56,64,85,79,85,62,56,79,64,85,85,83,86,66,85,62,56,79,64,85,85,83,86,66,83
L. Modrić,31,Croatia,89,89,Real Madrid CF,CDM,86,72,80,83,86,86,78,72,86,80,83,84,76,83,80,86,78,72,86,80,83,84,76,83,80,76
G. Bale,27,Wales,89,89,Real Madrid CF,RW,86,67,71,87,81,86,72,67,81,71,87,87,87,87,74,86,72,67,81,71,87,87,87,87,74,87
S. Agüero,29,Argentina,89,89,Manchester City,ST,85,44,54,87,75,85,52,44,75,54,87,84,86,86,57,85,52,44,75,54,87,84,86,86,57,86
G. Chiellini,32,Italy,89,89,Juventus,CB,55,86,76,55,60,55,78,86,60,76,55,58,59,56,75,55,78,86,60,76,55,58,59,56,75,59
G. Buffon,39,Italy,89,89,Juventus,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
P. Dybala,23,Argentina,88,93,Juventus,ST,86,43,55,86,78,86,55,43,78,55,86,86,83,87,60,86,55,43,78,55,86,86,83,87,60,83
J. Oblak,24,Slovenia,88,93,Atlético Madrid,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
