"Bug
ID",Product,Component,Assignee,Status,Resolution,Summary,Changed,"Assignee
Real
Name",Classification,Hardware,"Number of
Comments",Opened,OS,Priority,Reporter,"Reporter
Real
Name",Severity,"Target
Milestone",Version,Votes
3638,JDT,UI,aeschli,VERIFIED,FIXED,Package Viewer: order resource folders before resources? (1GDGLP6),1/17/2002 7:28,Martin Aeschlimann,Eclipse,All,3,10/10/2001 22:58,Windows NT,P1,aeschli,Martin Aeschlimann,major,---,2,0
3854,JDT,UI,aeschli,VERIFIED,FIXED,Wrong execution's classpath. (1GEY0W0),1/18/2002 4:02,Martin Aeschlimann,Eclipse,All,5,10/10/2001 23:01,Windows NT,P1,david_audel,David Audel,normal,---,2,0
4188,JDT,UI,aeschli,VERIFIED,FIXED,type hierachy - typo (1GJW2XJ),1/28/2002 3:12,Martin Aeschlimann,Eclipse,All,3,10/10/2001 23:07,Windows 2000,P1,erich_gamma,Erich Gamma,normal,---,2,0
5115,JDT,Debug,aeschli,VERIFIED,FIXED,Workspace source locator fails with mulitple package fragments,11/13/2001 10:11,Martin Aeschlimann,Eclipse,PC,10,10/19/2001 13:41,Windows 2000,P1,darin.eclipse,Darin Wright,normal,---,2,0
5820,JDT,UI,aeschli,VERIFIED,FIXED,Close all editors brings up hierarchy of object,11/20/2001 16:22,Martin Aeschlimann,Eclipse,PC,5,11/12/2001 18:18,Windows 2000,P1,jed.anderson,Jed Anderson,normal,---,2,0
6441,JDT,UI,aeschli,VERIFIED,FIXED,"""Plugins containing only Jars"" logis reverted",1/16/2002 2:58,Martin Aeschlimann,Eclipse,PC,2,11/29/2001 13:50,Windows 2000,P1,erich_gamma,Erich Gamma,normal,---,2,0
7329,JDT,UI,aeschli,VERIFIED,FIXED,"Outline view: wrong spelling ""Add JavDoc Comment""",1/15/2002 5:56,Martin Aeschlimann,Eclipse,PC,2,1/8/2002 2:44,Windows NT,P1,daniel_megert,Dani Megert,normal,---,2,0
7966,JDT,UI,aeschli,VERIFIED,FIXED,Class Creation Dialog generates syntax error,3/28/2002 5:43,Martin Aeschlimann,Eclipse,PC,4,1/21/2002 15:42,Windows 2000,P1,Tod_Creasey,Tod Creasey,normal,---,2,0
8224,JDT,UI,aeschli,VERIFIED,FIXED,Organize imports adds explicit import to wildcard import,2/13/2002 8:38,Martin Aeschlimann,Eclipse,PC,4,1/23/2002 13:42,other,P1,knut_radloff,Knut Radloff,normal,---,2,0
8280,JDT,UI,aeschli,VERIFIED,FIXED,Package view back/forward/up arrow hover help,2/13/2002 7:51,Martin Aeschlimann,Eclipse,PC,7,1/23/2002 15:25,Windows 2000,P1,jeff_brown,Jeff Brown,normal,---,2,0
