Wrestler,Wins,Losses,Draws
Dean Ambrose,150,63,5
Roman Reigns,187,19,7
Cesaro,117,69,1
Big E,96,86,1
Luke Harper,55,122,3
Kofi Kingston,86,90,1
Seth Rollins,51,124,1
Ryback,138,34,2
Dolph Ziggler,115,52,2
Sin Cara,115,50,1
Bray Wyatt,28,133,2
Kalisto,107,54,2
Viktor,19,143,0
Konnor,19,141,0
Bo Dallas,15,141,1
Neville,116,38,0
Titus O'Neil,92,61,0
Kevin Owens,63,85,4
Adam Rose,8,142,1
Sasha Banks,62,87,2
Tyler Breeze,44,105,2
Rusev,52,93,4
Naomi,55,92,1
Stardust,38,110,0
Charlotte,108,35,3
Fandango,69,75,1
Sheamus,58,86,1
R-Truth,94,44,1
Darren Young,87,47,2
John Cena,125,11,0
Kane,44,92,0
The Miz,17,115,1
Zack Ryder,88,45,0
Heath Slater,1,131,0
Paige,68,62,2
Becky Lynch,71,59,1
Jack Swagger,65,65,0
Curtis Axel,58,68,2
The Big Show,30,94,1
Emma,62,62,0
Finn Balor,103,20,0
Jimmy Uso,82,36,3
Bayley,99,19,1
Fernando,30,87,0
Baron Corbin,61,54,0
Diego,29,86,0
Xavier Woods,53,59,1
Nikki Bella,68,43,0
Alicia Fox,36,74,0
Natalya,82,18,0
Brie Bella,41,58,0
Erick Rowan,53,44,1
Simon Gotch,57,41,0
Aiden English,57,40,0
Bull Dempsey,62,34,0
Scott Dawson,38,58,0
Dash Wilder,38,57,0
Colin Cassady,69,24,0
Tye Dillinger,24,66,3
Randy Orton,81,10,1
Tyson Kidd,39,49,1
Jason Jordan,28,59,1
King Barrett,22,65,0
Enzo Amore,67,19,0
Solomon Crowe,46,37,1
Blake,31,51,0
Murphy,32,50,0
Chad Gable,26,55,0
Bad News Barrett,20,54,0
Carmella,36,33,1
D-Von Dudley,36,29,1
Jey Uso,37,28,1
Bubba Ray Dudley,36,28,1
Goldust,22,40,0
Damien Sandow,50,9,2
Summer Rae,11,50,0
Cameron,7,52,0
Dana Brooke,18,39,1
Daniel Bryan,51,7,0
Braun Strowman,30,26,1
Alexa Bliss,19,37,0
Angelo Dawkins,11,45,0
Mojo Rawley,41,11,0
Elias Samson,12,38,1
Apollo Crews,42,8,0
Tamina,7,43,0
Samoa Joe,36,11,1
Sawyer Fulton,7,41,0
Chris Jericho,42,4,0
Damien Mizdow,14,29,0
Alberto Del Rio,26,13,2
Mark Henry,17,23,1
Hideo Itami,25,13,0
Adrian Neville,14,20,0
Sami Zayn,22,11,1
Mike Rawlis,9,24,0
Steve Cutler,8,22,1
Marcus Louis,5,24,0
Tucker Knight,3,24,1
Brad Maddox,1,26,0
Nia Jax,17,9,0
Riddick Moss,8,17,0
Asuka,24,0,0
Rhyno,8,16,0
Eva Marie,13,9,1
Billie Kay,5,15,1
Hugo Knox,13,8,0
Lina,9,11,0
Macho Mandow,14,5,0
CJ Parker,0,18,0
Jessie McKay,1,17,0
Peyton Royce,2,16,0
Layla,6,10,0
Uhaa Nation,13,3,0
Devin Taylor,6,9,0
Alexander Wolfe,0,14,0
Tommy Dreamer,4,9,1
Levis Valenzuela Jr.,7,6,0
Cassie,0,12,0
Gionna Daddio,8,4,0
Tino Sabbatelli,1,11,0
