author,word1,word2,source
390,substantiate,authenticate,BC
663,speed limit,laws,BC
331,britches,buckle,BC
341,tatonka,tonka,BC
635,evidence,deed,BC
485,shelf,life,BC
593,reanimate,caricature,BC
640,tragic,comedy,BC
596,comedy lol i just wanted to make things a bit lighter,pranks,BC
663,scooby,snacks,BC
572,velvet,national,BC
360,fancy,pants,BC
677,glad you got it myself,i scream that out a lot at work after a hard day of being battered and bruised by the boss,BC
473,mark,dirty,BC
412,quiver,shake,BC
589,you mean you don't mean,mind,BC
422,motor,home,BC
640,coin,chocolate,BC
699,protective,antivirus,BC
563,thinker,mind,BC
473,doctor,who,BC
426,quiet,riot,BC
385,balm,lemon,BC
683,gymnast,balance,BC
550,fear,ghosts,BC
605,administrator,vonnie,BC
360,time,line,BC
375,snuffleupagusi went to school with a greek kid,green,BC
485,bay,scallops,BC
485,mountain,climbing,BC
566,spoon,tea,BC
640,paper,chain,BC
589,bath,shower,BC
706,green,joe,BC
659,balloons seeing as how the world's largest hot air balloon fiesta will start,birthday,BC
702,pension,investment,BC
360,pong,ball,BC
550,teeth,gears,BC
389,shakespearean,hamlet,BC
422,munchies,snacks,BC
616,bald,toupee,BC
405,cryptic,code,BC
708,FALSE,lizard,BC
655,pedigree,dog,BC
405,kindle,books,BC
663,discombobulated,uncomfortable,BC
663,odor,odiferous,BC
698,tunnel,train,BC
473,area,zone,BC
389,water's,song,BC
422,as in the corn pone,iditarod,BC
583,sedentary,sitting,BC
398,security,bank,BC
489,brain,toes,BC
501,4 wheeling,diggin,BC
698,parched,water,BC
485,grand,piano,BC
485,duo,dynamic,BC
341,panel,disscussion,BC
662,spoiled,rich,BC
698,kentucky,fried,BC
345,woo,couple,BC
667,character,actor,BC
473,covered,over,BC
448,free,valueless,BC
677,pandemic,omnipresent,BC
341,juke,jive,BC
422,the,pickle,BC
604,cartographer,mapquest,BC
331,individualistic,narcissistic,BC
588,living,breathing,BC
501,round,square,BC
398,parrot,cracker,BC
529,rubbing,pain,BC
341,irritating,exasperating,BC
640,tease,promise,BC
485,tower,rampart,BC
421,thanks for putting that all in perspective saxon,it is a credit to the players on bc that they can drift of and be whimsical in their replies,BC
331,coalesce,coagulate,BC
393,relocate,cleansing,BC
550,la brea tar pits,elephant grave yardi know,BC
341,spurious,bogus,BC
341,storm,meteorological,BC
640,burger,horse,BC
437,justify,causeaww pandy,BC
328,theory,relativity,BC
421,whopper,bun,BC
473,orange,peel,BC
485,jalapeo,ha  banero,BC
365,glasses,sun,BC
389,casino,queen,BC
640,writing,script,BC
642,heredity,lineage,BC
365,dead,life,BC
663,challenged,euphemistic,BC
354,prong,branch,BC
365,rna,h2o,BC
640,peccadillo,misdemeanor,BC
485,television,station,BC
389,levitate,hover,BC
589,unwanted,unneeded,BC
341,bambi,bembenek,BC
698,theory,idea,BC
706,stakeout,surveillance,BC
360,dentist,pain,BC
604,dirt,sawin' logs n'  dozing in perpetual slumber,BC
329,refined,polished,BC
663,runes,hieroglyph,BC
563,foucalt,philosopher,BC
641,coda,symbol,BC
393,wine,cooler,BC
485,ocean,vast,BC
392,volleyball,spike,BC
393,acid,trip,BC
361,reel,film,BC
529,grand,dame,BC
563,orator,address,BC
706,trophy,wife,BC
604,opinion,outlook,BC
331,bottle,neck,BC
640,big,ben,BC
555,bourgeois,proletariatjohn,BC
606,car,camero,BC
341,manners,manors,BC
616,breath,shortness,BC
706,reciprocated,respond,BC
593,lol john,timer,BC
640,ship,move,BC
698,semolina,seasoning,BC
640,cricket,wicket,BC
341,titans,pantheon,BC
389,jet,airliner,BC
341,nightmare,gehenna,BC
419,ubiquitous,omnipresent,BC
507,cook,book,BC
341,ethic,philosophic,BC
698,helix,heel,BC
529,$fortune$,fame,BC
389,card,greeting,BC
398,sharp,razor,BC
422,pricey,luxury,BC
572,growth,wart,BC
681,meal,diet,BC
473,muscles,power,BC
529,field,ball,BC
437,title,deed,BC
341,compartmental,policy,BC
437,1970 plymouth superbird,rock,BC
485,serve,volley,BC
662,mountain,climbing,BC
663,timpani,drummer,BC
341,magician,prestidigitator,BC
392,tepid,tea,BC
449,work,jackhammer,BC
389,walk,stroll,BC
389,dainty,shrimp,BC
387,bishop,diocese,BC
400,advice,dear abby,BC
499,gah,pakistan,BC
663,abet,influence,BC
485,judge,jury,BC
387,nature,strip,BC
393,species,characteristics,BC
392,scent,sense,BC
690,energy,mass,BC
389,apple,harvest,BC
473,abandon,leave,BC
663,occasionally,eventually,BC
640,trousers,arrest,BC
398,tracks,trains,BC
399,file,nails,BC
563,rough,draft,BC
377,foundation,solid,BC
480,policy,disclaimer,BC
341,night shade,hemlock,BC
365,fizzle,alka seltzer,BC
473,function,event,BC
566,debt,loan,BC
698,batman,robin,BC
659,trove,treasure,BC
400,top,gun,BC
387,bridge,causeway,BC
452,hippo,potamous,BC
522,cunning,wiseguy,BC
698,stroke,paint,BC
529,sentthanks i try to be the commic relief all while keeping my pc skills,scent,BC
399,cloudy,over-cast,BC
589,commitment,promise,BC
437,bottle,glass,BC
