Country,ISO3,Rank,TotalPopulation,ManpowerAvailable,TotalMilitaryPersonnel,ActivePersonnel,ReservePersonnel,TotalAircraftStrength,FighterAircraft,AttackAircraft,TotalHelicopterStrength,AttackHelicopters
United States,USA,1,323995528,145215000,2363675,1373650,990025,13762,2296,2785,6065,947
Russia,RUS,2,142355415,70000000,3371027,798527,2572500,3794,806,1438,1389,490
China,CHN,3,1373541278,750000000,3712500,2260000,1452500,2955,1271,1385,912,206
India,IND,4,1266883598,616000000,4207250,1362500,2844750,2102,676,809,666,16
France,FRA,5,66836154,30000000,387635,204000,183635,1305,296,284,610,49
United Kingdom,UKD,6,64430428,30000000,232675,151175,81500,856,88,168,347,39
Japan,JPN,7,126702133,54000000,311875,248575,63300,1594,288,287,659,119
Turkey,TUR,8,80274604,41640000,743415,382850,360565,1018,207,207,455,70
Germany,GER,9,80722792,37000000,210000,180000,30000,698,92,169,375,47
Egypt,EGP,10,94666993,42000000,1329250,454250,875000,1132,337,427,257,46
Italy,ITA,11,62007540,28000000,267500,247500,20000,822,79,185,430,59
South Korea,SKO,12,50924172,25610000,5829750,627500,5202250,1477,406,448,709,81
Pakistan,PAK,13,201995540,95000000,919000,637000,282000,951,301,394,316,52
Indonesia,INO,14,258316051,130000000,975750,435750,540000,441,39,58,147,5
Israel,ISR,15,8174527,3600000,718250,168250,550000,652,243,243,143,48
Vietnam,VTN,16,95261021,50650000,5488500,448500,5040000,278,76,73,137,25
Brazil,BRA,17,205823665,107000000,1987000,334500,1652500,697,43,121,230,12
Taiwan,TAI,18,23464787,12200000,1932500,257500,1675000,850,286,287,345,91
Poland,POL,19,38523261,19000000,184650,109650,75000,465,99,99,211,29
Thailand,THA,20,68200824,35500000,627425,335425,292000,555,76,95,294,7
Iran,IRN,21,82801633,47000000,934000,534000,400000,477,137,137,126,12
Australia,AUS,22,22992654,10700000,81000,60000,21000,465,78,78,210,22
North Korea,NKO,23,25115311,13000000,6445000,945000,5500000,944,458,572,202,20
Saudi Arabia,SAR,24,28160273,15300000,256000,231000,25000,790,177,245,227,21
Algeria,ALG,25,40263711,20400000,792350,520000,272350,502,89,99,257,38
Canada,CAN,26,35362905,16000000,111250,79000,32250,414,60,64,168,0
Spain,SPA,27,48563476,23000000,174700,124100,50600,533,109,108,173,10
Greece,GRE,28,10773253,5000000,413750,161500,252250,600,206,206,223,29
Sweden,SWE,29,9880604,4065000,43875,21875,22000,198,72,74,49,0
Ukraine,UKR,30,44209733,22250000,1182000,182000,1000000,238,39,66,87,34
Myanmar,MYA,31,56890418,30000000,516000,406000,110000,249,56,77,86,9
Czech Republic,CZR,32,10644842,5000000,29050,22000,7050,109,12,31,56,17
Malaysia,MLY,33,30949962,15000000,420000,110000,310000,232,36,55,88,0
